,0
0,R
1,R
2,R
3,R
4,R
5,R
6,R
7,R
8,R
9,R
10,R
11,R
12,R
13,R
14,R
15,R
16,R
17,R
18,R
19,R
20,R
21,R
22,R
23,R
24,R
25,R
26,R
27,R
28,R
29,R
30,R
31,R
32,R
33,R
34,R
35,R
36,R
37,R
38,R
39,R
40,R
41,R
42,R
43,R
44,R
45,R
46,R
47,R
48,R
49,R
50,R
51,R
52,R
53,R
54,R
55,R
56,R
57,R
58,R
59,R
60,R
61,R
62,R
63,R
64,R
65,R
66,R
67,R
68,R
69,R
70,R
71,R
72,R
73,R
74,R
75,R
76,R
77,R
78,R
79,R
80,R
81,R
82,R
83,R
84,R
85,R
86,R
87,R
88,R
89,R
90,R
91,R
92,R
93,R
94,R
95,R
96,R
97,M
98,M
99,M
100,M
101,M
102,M
103,M
104,M
105,M
106,M
107,M
108,M
109,M
110,M
111,M
112,M
113,M
114,M
115,M
116,M
117,M
118,M
119,M
120,M
121,M
122,M
123,M
124,M
125,M
126,M
127,M
128,M
129,M
130,M
131,M
132,M
133,M
134,M
135,M
136,M
137,M
138,M
139,M
140,M
141,M
142,M
143,M
144,M
145,M
146,M
147,M
148,M
149,M
150,M
151,M
152,M
153,M
154,M
155,M
156,M
157,M
158,M
159,M
160,M
161,M
162,M
163,M
164,M
165,M
166,M
167,M
168,M
169,M
170,M
171,M
172,M
173,M
174,M
175,M
176,M
177,M
178,M
179,M
180,M
181,M
182,M
183,M
184,M
185,M
186,M
187,M
188,M
189,M
190,M
191,M
192,M
193,M
194,M
195,M
196,M
197,M
198,M
199,M
200,M
201,M
202,M
203,M
204,M
205,M
206,M
207,M
